Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
The 2021 Marketing MASTERCLASS for Startups and Leaders,4.6,5,0.5,1647,Marketing,Digital Marketing,Marketing Strategy,"Brian Bozarth, M.A. Marketing",English,TRUE,0,6,0,18,0,No,128.98,18
Adobe XD for beginners,4.1,5,0.5,3,Design,User Experience Design,Adobe XD,IntQD LLC,English,FALSE,0,0,0,1,0,No,29.98,18
The Magic of Action (Motivation),4,5,0.5,1839,Personal Development,Personal Transformation,Motivation,Dinesh Rathi,English,FALSE,0,0,0,0.516666667,5,No,29.98,18
Reliability and Maintenance Excellence (RME),5,5,0.5,1,Business,Management,Maintenance Management,Arrelic Institute,English,FALSE,2,0,0,5,0,No,158.98,158.98
Budget Mastery,4.9,5,0.5,4,Finance & Accounting,Finance,Personal Finance,BN Focus,English,FALSE,0,0,0,1,5,No,108.98,108.98
Learn Basics to Advance level of stock market,5,5,0.5,1,Finance & Accounting,Investing & Trading,Technical Analysis,Akshay Saraf,English,FALSE,0,0,0,1,1,No,98.98,18
Power Animal Retrieval Practitioner,5,5,0.5,2,Personal Development,Religion & Spirituality,Meditation,Daniela Hills,English,FALSE,0,5,0,1.5,6,No,55.98,18
GMAT Verbal Sentence Correction: Master Basics for MBA,0,0,0,0,Teaching & Academics,Test Prep,GMAT,Prasad Hariharan,English,FALSE,0,0,0,2,0,No,40.98,18
Mythology 101,0,0,0,0,Teaching & Academics,Humanities,Unknown,Jamie Pedrazzoli-Bach,English,FALSE,0,0,0,2.5,110,No,40.98,18
How to Make a Difference by Nicholas Kristof & Sheryl WuDunn,4.7,5,0.5,300,Teaching & Academics,Humanities,Personal Development,Nicholas Kristof,English,FALSE,0,0,0,3,10,No,128.98,18
"Amazon Video Direct, Skillshare And Udemy (Unofficial)",4.7,5,0.5,2,Business,Media,Amazon Video Direct,The Elite Team,English,FALSE,0,0,0,4.5,0,No,138.98,20
C_TADM55A_75 |SAP System Administration (SAP HANA) NetWe 7.5,5,5,0.5,1,Office Productivity,SAP,SAP Certified Technology Associate - SAP HANA,Rohit Redhu,English,FALSE,5,0,0,0,0,No,40.98,18
Human Resource Planning and Job Analysis Course,0,0,0,0,Personal Development,Career Development,Unknown,Bilal Semih Bozdemir,English,FALSE,0,0,0,2,0,No,29.98,18
How to become a LinkedIn Pro while still in College,5,5,0.5,1,Marketing,Social Media Marketing,LinkedIn,Trent Cotton,English,FALSE,0,0,0,0.566666667,3,No,29.98,18
Instant Essay Upgrade [UK Uni Lecturer],5,5,0.5,1,Teaching & Academics,Humanities,Essay Writing,Daniel Pressley PhD,English,FALSE,0,0,0,2.5,4,No,34.98,18
Effective Business Communication,5,5,0.5,2,Business,Communication,Business Communication,Eric Yeboah,English,FALSE,0,0,0,1.5,0,No,108.98,18
Medical Coding: Crack The Code On Evaluation and Management,4.8,5,0.5,29,Business,Operations,Medical Coding,Victoria Moll,English,FALSE,0,0,0,2.5,0,Yes,40.98,18
Ace the CCAT - Comprehensive Practice Tests,4.5,5,0.5,17,Teaching & Academics,Test Prep,CCAT,20Collins Courses,English,FALSE,6,0,0,0,0,No,34.98,18
Local SEO Marketing,4.8,5,0.5,3,Marketing,Search Engine Optimization,SEO,Brian Dale,English,FALSE,0,0,0,3,0,No,29.98,18
let's make HIIT happen!,5,5,0.5,1,Health & Fitness,Fitness,Unknown,Fransisca Fiona,English,FALSE,0,0,0,2.5,0,No,59.98,18
Make Epic Videos for the Internet!,4.6,5,0.5,1385,Photography & Video,Video Design,Filmmaking,Gene Nagata,English,FALSE,0,0,0,2.5,0,No,59.98,59.98
"Mastering Architectural, Night & HDR Photography",4.3,5,0.5,596,Photography & Video,Commercial Photography,Architecture Photography,Creative Online School,English,FALSE,0,0,0,0.583333333,0,No,148.98,20
Photoshop Compositing in Adobe Photoshop CC 2021,3.5,5,0.5,1,Photography & Video,Digital Photography,Photography Composition,Tom Kai,English,FALSE,0,0,0,2,3,No,104.98,18
"News Trading -  new, fast and effective way to earn",5,5,0.5,1,Business,Business Strategy,Forex,Matbud15 Buda,English,FALSE,0,0,0,0.533333333,0,No,29.98,18
Learn C++ Programming -Beginner to Advance- Deep Dive in C++,4.7,5,0.5,10669,Development,Programming Languages,C++,Abdul Bari,English,TRUE,0,0,48,30.5,289,No,138.98,18
An Introduction to the Feldenkrais® Method for Singers,5,5,0.5,3,Health & Fitness,Yoga,Unknown,Sarah Templeton,English,FALSE,0,2,0,8.5,12,No,128.98,18
Spartan Warrior Body,4.9,5,0.5,7,Health & Fitness,Dieting,Fitness,Christopher Makrides,English,FALSE,0,0,0,4.5,29,No,29.98,18
Leadership Nuts & Bolts Part 1,0,0,0,0,Personal Development,Leadership,Unknown,Dr. Rotimi Akinbohun,English,FALSE,0,0,0,4.5,14,No,29.98,18
QuickStart! - VirtualBox,4.5,5,0.5,22,Office Productivity,Oracle,VirtualBox,VTC Software Training,English,FALSE,0,0,0,2,1,No,29.98,29.98
Options Trade Secret: Simple RAW Price Action High Win Rate!,3.6,5,0.5,3,Finance & Accounting,Investing & Trading,Financial Trading,Eden Koh,English,FALSE,0,0,0,1,5,No,128.98,18
PMP Realistic Exam ( Arabic -English ),5,5,0.5,7,Business,Management,PMP,Ahmed Al Bahy,English,FALSE,1,0,0,0,0,No,29.98,18
Time to Thrive...for Family Leaders,5,5,0.5,2,Business,Management,Leadership,Dustin Riechmann,English,FALSE,0,2,0,2.5,31,No,59.98,18
Learn to Differentiate and Integrate in 45 Minutes,4.6,5,0.5,433,Teaching & Academics,Math,Unknown,Miran Fattah,English,FALSE,0,0,0,1,2,No,29.98,18
The Great Japanese Gardens of Kyoto,2.8,5,0.5,2,Teaching & Academics,Humanities,Garden Design,Federico von Borstel,English,FALSE,0,0,0,2.5,0,No,128.98,18
WordPress training for 2018 step-by-step WordPress tutorial,4.7,5,0.5,686,Marketing,Digital Marketing,WordPress,David Murray,English,FALSE,0,0,0,4.5,0,No,128.98,18
IntelliJ IDEA Tricks to Boost Productivity for Java Devs,4.4,5,0.5,1584,Development,Software Development Tools,IntelliJ,Tao W.,English,FALSE,0,2,0,1.5,1,Yes,108.98,18
Learning Diabolo with Britney--Intermediate,5,5,0.5,4,Lifestyle,Other Lifestyle,Juggling,Britney Cheng,English,FALSE,0,0,0,1,0,No,88.98,18
Learn Python & Ethical Hacking From Scratch,4.6,5,0.5,13790,Development,Programming Languages,Python,Zaid Sabih,English,TRUE,0,1,0,25,12,No,128.98,18
Score Better In Exams: Test Prep Skill,0,0,0,0,Lifestyle,Other Lifestyle,Study Skills,Kushal Jasoria,English,FALSE,0,0,0,0.566666667,0,No,29.98,18
"Qualitative - Financial Statement Analysis, Credit Analysis",4.7,5,0.5,32,Finance & Accounting,Financial Modeling & Analysis,Financial Analysis,Sandesh Banger,English,FALSE,0,0,0,3.5,11,No,29.98,18
Build Your WordPress Blog for Non Techies,4,5,0.5,1,Marketing,Branding,WordPress,Anil Batra,English,FALSE,0,0,0,1,0,No,128.98,18
Natural Language Processing with Deep Learning in Python,4.7,5,0.5,6503,Development,Data Science,Python,Lazy Programmer Team,English,TRUE,0,0,0,12,0,No,49.98,49.98
Final Cut Pro X Training Tutorial for Beginners,0,0,0,0,Photography & Video,Other Photography & Video,Video Editing,Liu Chang,English,FALSE,0,0,0,1,1,No,29.98,18
365 Days Non-stop Selling for your Tourism Business,4.8,5,0.5,3,Business,Other Business,Travel Business,Hassan El Zein,English,FALSE,0,9,0,0.516666667,0,No,29.98,29.98
Portrait Photography Sales Mastery,4.5,5,0.5,91,Photography & Video,Portrait Photography,Unknown,Laurence Kim,English,FALSE,0,8,0,2.5,0,No,44.98,18
Mastering Thinking Skills Vol 1: The 12 Fundamental Skills,4.2,5,0.5,346,Personal Development,Memory & Study Skills,Critical Thinking,Timothy Kenny,English,FALSE,0,0,0,4,0,No,158.98,22
iOS 11 & Swift 4 - The Complete iOS App Development Bootcamp,4.4,5,0.5,31467,Development,Mobile Development,iOS Development,Dr. Angela Yu,English,TRUE,0,103,0,49,26,No,148.98,20
Robotics Law,4.6,5,0.5,12,Business,Industry,Robotics,Victoria Sutton,English,FALSE,0,0,0,2.5,0,No,55.98,18
MuseScore-FREE music notation software-Full course,4.8,5,0.5,92,Music,Music Software,MuseScore,Martin Cohen,English,FALSE,0,4,0,4.5,3,No,78.98,18
Autodesk Sketchbook for creating Still life Digital Painting,4.5,5,0.5,17,Design,Graphic Design & Illustration,Autodesk SketchBook,Venkatesh B,English,FALSE,0,0,0,1,0,No,29.98,18
iPhone Romantic Outdoor Portrait Photography,0,0,0,0,Photography & Video,Portrait Photography,Unknown,Photofonz Media,English,FALSE,0,0,0,1.5,0,No,108.98,18
Sales calls and Email marketing 101,0,0,0,0,Marketing,Digital Marketing,Sales Skills,Sam Nihof,English,FALSE,0,0,0,0.7,3,No,40.98,18
Critical Thinking Strategies For Better Decisions,4.3,5,0.5,4481,Personal Development,Career Development,Critical Thinking,John Rampton,English,FALSE,1,0,0,1,8,No,29.98,18
Ultimate Wordpress Optimization 2020,3.8,5,0.5,124,Development,No-Code Development,WordPress,nurt technologies,English,FALSE,0,0,0,2.5,0,No,59.98,18
Quantitative Aptitude for CAT/XAT/GATE/GRE/GMAT/CGL/RRB/NMAT,4.7,5,0.5,4,Teaching & Academics,Test Prep,Math,The Quant Mentor,English,FALSE,0,0,0,21,0,No,64.98,18
Premiere Pro: 22 Life-Hacks for Boosting Workflow (2021),5,5,0.5,3,Photography & Video,Video Design,Adobe Premiere,Evgeny Maximov,English,FALSE,0,1,0,1,0,No,40.98,18
Planet-Centered Design: Public-Planet Partnerships,4.8,5,0.5,12,Design,Design Thinking,Sustainable Development,Leena Olaimy,English,FALSE,0,0,0,0.516666667,11,No,64.98,64.98
2015 Great Decisions: Foreign Policy Association,4.7,5,0.5,207,Teaching & Academics,Social Science,Foreign Policy,Foreign Policy Association,English,FALSE,0,0,0,6,0,No,34.98,18
Go Viral on 6 Social Media Marketing Platforms,4.8,5,0.5,714,Marketing,Social Media Marketing,Viral Marketing,iMarket XL,English,FALSE,0,8,0,2.5,7,Yes,128.98,18
Adobe Lightroom: 3 Steps To A Better Edit,0,0,0,0,Photography & Video,Digital Photography,Adobe Lightroom,Tom Kai,English,FALSE,0,0,0,1,1,No,59.98,18
The Fundamentals of Cognitive Behavior Therapy,0,0,0,0,Teaching & Academics,Other Teaching & Academics,CBT,Jason Grossman,English,FALSE,0,0,0,2.5,0,No,128.98,18
EFT Your Fear of Public Speaking,3.8,5,0.5,79,Personal Development,Self Esteem & Confidence,Public Speaking,Scott Paton,English,FALSE,0,3,0,2,2,No,128.98,18
SEO for Photographers: The Complete Course,4.7,5,0.5,67,Photography & Video,Commercial Photography,SEO,Justin Katz,English,FALSE,0,0,0,4.5,9,No,128.98,18
Certified India/Gentle Spiritual Yoga Dance Therapy/English1,0,0,0,0,Health & Fitness,Dance,Unknown,Sarita Wariyer,English,FALSE,0,1,0,1,5,No,34.98,18
Yoga and Meditation for Self-Love and Acceptance,5,5,0.5,1,Health & Fitness,Yoga,Unknown,Alice Rawsthorne,English,FALSE,0,16,0,2.5,2,No,34.98,18
Become a Machine Learning Mobile Product  Guru,4.9,5,0.5,3,Development,Data Science,Machine Learning,Paolo Messina,English,FALSE,0,1,0,2,2,No,29.98,18
Mac 101 - A Beginner's Guide to Mac OS Keyboard Shortcuts,4,5,0.5,109,Office Productivity,Apple,Mac Basics,Rusty Ellis,English,FALSE,0,0,0,1,1,No,29.98,18
Integrated Management Systems (IMS) Implementation Course,4,5,0.5,1,Business,Industry,Quality Assurance,Olanab Consults,English,FALSE,0,11,0,5,0,No,94.98,18
"Design Mobile Apps: UI, UX & Prototyping in Adobe XD & PS",4.5,5,0.5,868,Design,User Experience Design,Mobile App Design,Cristian Doru Barin,English,TRUE,0,1,0,14.5,123,No,128.98,18
Grammar Level 1-5,0,0,0,0,Teaching & Academics,Teacher Training,English Grammar,Taeasla -,English,FALSE,0,0,0,49,60,No,34.98,18
How to start a Amazon affiliate website from scratch in 2021,5,5,0.5,1,Marketing,Affiliate Marketing,Unknown,Manuel Becvar,English,FALSE,0,0,0,9,0,No,49.98,49.98
Presentation Skills - Advanced: Speak Without Reading Notes,4.5,5,0.5,702,Personal Development,Career Development,Presentation Skills,TJ Walker,English,FALSE,0,4,0,29,2,No,138.98,20
Crypto Technical Analysis Course In Hindi,5,5,0.5,3,Finance & Accounting,Cryptocurrency & Blockchain,Technical Analysis,Asif Raza,English,FALSE,0,0,0,2,18,No,29.98,18
Experience Higher Consciousness,4.9,5,0.5,9,Health & Fitness,Meditation,Consciousness,Matt Sturm,English,FALSE,0,0,0,15,0,No,29.98,18
Microsoft Access:  Up to Speed,5,5,0.5,5,Office Productivity,Microsoft,Microsoft Access,Roger Hyttinen,English,FALSE,0,0,0,8.5,1,No,29.98,18
The Ultimate Graphic design course with Indesign,5,5,0.5,1,Design,Graphic Design & Illustration,InDesign,Rudolph Pieterse,English,FALSE,0,0,0,7,7,No,40.98,18
Giving and Receiving Feedback for Management and Leadership,4.5,5,0.5,3272,Business,Management,Interpersonal Feedback,"Lawrence M. Miller, Institute for Leadership Excellence",English,FALSE,0,0,0,1,2,Yes,128.98,18
Dog Owners & Professionals: Where To Go From Here?,4.8,5,0.5,19,Lifestyle,Pet Care & Training,Dog Training,Ian Dunbar,English,FALSE,0,0,0,5,0,No,108.98,18
Technical Writing: How to Write API Software Documentation,4.5,5,0.5,26,Development,Software Engineering,Technical Writing,JPDocu School of Technical Writing,English,FALSE,0,0,0,1.5,0,No,128.98,18
LvL-Up Stickfighting from home - Double Stick for Eskrima,5,5,0.5,1,Health & Fitness,Self Defense,Martial Arts,Joost Raaijmaakers,English,FALSE,0,0,0,0.733333333,0,No,40.98,18
How to Plan a Green & Sustainable Event,4.4,5,0.5,14,Marketing,Marketing Fundamentals,Event Planning,Mattias Cook,English,FALSE,0,1,0,1.5,4,No,34.98,18
Limitless Confidence: Professional and Personal Confidence,5,5,0.5,2,Personal Development,Leadership,Confidence,Michael J Morentin,English,FALSE,0,0,0,2.5,0,No,40.98,18
Cryptocurrency Binance Trading Bots Passive Income,4.8,5,0.5,12,Finance & Accounting,Cryptocurrency & Blockchain,Binance,RJ Austria,English,FALSE,0,0,0,1,15,No,29.98,18
Customer Journey Mapping For Online And Offline Business,5,5,0.5,1,Business,Sales,Customer Journey Mapping,Eric Yeboah,English,FALSE,0,0,0,1,0,No,118.98,18
Supply Chain Management Practice Questions (260),5,5,0.5,3,Business,Operations,Supply Chain,EBodhisathva Solutions,English,FALSE,3,0,0,0,0,No,78.98,18
How To Invest In ETFs in 7 Days (Or Less),5,5,0.5,2,Finance & Accounting,Investing & Trading,ETF,Rignesh Thinagaran,English,FALSE,2,9,0,2,0,No,29.98,18
Respect Gender & Sexual Differences & Assert Yourself,4.5,5,0.5,2361,Business,Human Resources,Gender Equality,Eleventure Team,English,FALSE,0,0,0,0.516666667,0,No,29.98,18
Understanding the Taxation of Crypto (Virtual) Currency,4.8,5,0.5,3,Finance & Accounting,Cryptocurrency & Blockchain,Unknown,"Michael E Scott CPA, CMA",English,FALSE,0,0,0,0.6,0,No,29.98,18
Effective Business Process Mapping,5,5,0.5,1,Business,Business Analytics & Intelligence,Process Mapping,Eric Yeboah,English,FALSE,0,0,0,2,0,No,128.98,18
Mini Guide to Nutrition and Eating for Health,5,5,0.5,1,Health & Fitness,Nutrition,Unknown,Dr Harriet Holme,English,FALSE,0,0,0,1.5,8,No,59.98,18
Complete C# Unity Developer 3D:Ultimate Guide For Begginers,4.9,5,0.5,3,Development,Game Development,Game Mechanics,Moditha Damindu,English,FALSE,0,1,0,22.5,5,No,128.98,18
Udemy Mastery: How to create 1 course per day! (Unofficial),4.9,5,0.5,331,Teaching & Academics,Online Education,Online Course Creation,Business Hero,English,FALSE,0,0,0,3,4,No,128.98,18
After Effects: Create an Intro Video / Bumper for your Brand,4.1,5,0.5,148,Marketing,Branding,After Effects,Phil Ebiner,English,TRUE,0,1,0,5,5,No,108.98,18
Martial arts - Tinbe and Rochin,0,0,0,0,Health & Fitness,Self Defense,Martial Arts,Michael Stelzer Ph.D.,English,FALSE,0,0,0,0.5,0,No,29.98,18
3 Steps to Meal Planning for Health,0,0,0,0,Health & Fitness,Nutrition,Meal Planning,Suzanne Leyden,English,FALSE,0,0,0,1,2,No,29.98,18
Learn Tkinter from Scratch to Create Desktop Applications,4.9,5,0.5,46,Development,Software Engineering,Python GUI,Mokhtari Amine,English,FALSE,0,0,0,8,15,No,29.98,18
Boost Your Mind-Thoughts and Beliefs Power,5,5,0.5,8,Personal Development,Self Esteem & Confidence,Confidence,Dr. Elisaveta Pavlova,English,FALSE,0,0,0,2.5,30,No,128.98,18
Join Udemy Elite: How to Work as an Instructor - Unofficial,4.5,5,0.5,128,Teaching & Academics,Online Education,Online Course Creation,Andrew Eddy,English,FALSE,0,5,0,2,0,No,29.98,18
Oracle SQL,0,0,0,0,Development,Database Design & Development,Oracle SQL,Manjunath Jituri,English,FALSE,0,0,0,7.5,26,No,29.98,18
Managing Email Overload with Microsoft Outlook,4.5,5,0.5,1,Office Productivity,Microsoft,Time Management,John Thomas,English,FALSE,0,0,0,2,1,No,59.98,18
Music Production - Beginner Creativity Masterclass,5,5,0.5,2,Music,Music Production,Creativity,Omar Meho,English,FALSE,0,0,0,6,2,No,128.98,18
Presentation Skills: Give a Great Acceptance Speech,4.7,5,0.5,106,Personal Development,Personal Brand Building,Presentation Skills,TJ Walker,English,FALSE,0,4,0,1,0,No,128.98,18
Become a SuperLearner® 2: Learn Speed Reading & Boost Memory,4.5,5,0.5,32436,Personal Development,Memory & Study Skills,Speed Reading,Jonathan Levi,English,TRUE,0,5,0,5,0,Yes,128.98,18
Rubik's cube and Megaminx for beginners,0,0,0,0,Personal Development,Memory & Study Skills,Rubik's Cube,Wim Mullens,English,FALSE,0,1,0,2,1,No,29.98,18
Leadership- Concept & Style,0,0,0,0,Personal Development,Leadership,Unknown,Amit Kumar Bandyopadhyay,English,FALSE,0,0,0,2,0,No,29.98,18
AutoCAD - How to Make a Floor Plan,4.7,5,0.5,2,Design,Architectural Design,AutoCAD,Cad Maker,English,FALSE,0,0,0,0.7,0,No,128.98,18
Music Production in Logic Pro X - The Complete Course!,4.6,5,0.5,9258,Music,Music Production,Logic Pro X,Tomas George,English,FALSE,0,13,0,50.5,13,Yes,128.98,18
All New Engaging Way to Learn Tinkercad - For Beginners,0,0,0,0,Design,Design Thinking,Unknown,Akhil Maheshwari,English,FALSE,0,0,0,1,0,No,29.98,18
iMovie and Keynote Animations 2020 | Beginner to Pro,4.8,5,0.5,10,Office Productivity,Apple,Video Editing,Anushka Dalvi,English,FALSE,0,0,0,1,0,No,34.98,18
Statistics Fundamentals and its Applications,3.8,5,0.5,533,Teaching & Academics,Math,Statistics,Amba Kumari,English,FALSE,0,0,0,3.5,0,No,29.98,18
"Email Marketing Mastery For Coaches, Hypnotherapists & NLPs",4.8,5,0.5,28,Marketing,Advertising,Email Marketing,Scott Jansen,English,FALSE,0,0,0,2,1,No,29.98,18
Mastering Collaboration: Work together for the best results,4.4,5,0.5,6706,Business,Other Business,Business Collaboration,Evan Kimbrell,English,FALSE,0,5,0,1,16,No,108.98,18
ClickBank Millionaire Affiliate with Free Traffic & No Site,4.4,5,0.5,170,Marketing,Affiliate Marketing,ClickBank,Gerald Umeh,English,FALSE,0,0,0,3,0,No,108.98,18
Video Presentation skills : Speak on camera with confidence,3,5,0.5,1,Marketing,Video & Mobile Marketing,Presentation Skills,Michal Magen,English,FALSE,0,0,0,1.5,0,No,104.98,18
Complete SEO Training With Top SEO Expert Peter Kent!,4.5,5,0.5,4843,Marketing,Search Engine Optimization,SEO,Peter Kent,English,TRUE,0,45,0,8,1,No,138.98,20
[NEW] PMI-ACP Practice Exams - PMBOK   700 Questions -2021,0,0,0,0,Business,Management,PMI-ACP,Data Full,English,FALSE,6,0,0,0,0,No,68.98,18
Investing for Beginners: Learn Investing Strategies & Tools,4,5,0.5,76,Teaching & Academics,Other Teaching & Academics,Investing,Upclass - Investing & Finance Coaching,English,FALSE,0,0,0,0.533333333,0,No,118.98,18
Udemy Course Creation for Passive Income (Unofficial),4.7,5,0.5,1504,Teaching & Academics,Online Education,Passive Income,Louise Croft,English,FALSE,0,0,0,3,10,Yes,128.98,18
PipeRack Design : Piping and layouts,5,5,0.5,1,Teaching & Academics,Engineering,Piping,Atul Singla,English,FALSE,0,0,0,0.583333333,0,No,29.98,18
Martial Arts Masters,5,5,0.5,2,Health & Fitness,Mental Health,Philosophy,"Justin Hagen, M.Ed",English,FALSE,1,0,0,3.5,15,No,29.98,18
MBTI - A Look at the ENTJ,5,5,0.5,1,Personal Development,Personal Productivity,Personality,Tracy Atkinson,English,FALSE,0,0,0,11.5,4,No,44.98,18
PMP Exam Prep 2021 l PMP Exam Questions l PMP Practice Tests,3.4,5,0.5,9,Business,Project Management,PMP,Achref Hassini,English,FALSE,6,0,0,0,0,No,128.98,18
Flips & Kicks!  A Beginners Guide to Martialarts Acrobatics,4.6,5,0.5,211,Health & Fitness,Sports,Martial Arts,Inauen Thomas,English,FALSE,0,6,0,2,0,No,49.98,18
BAT Training for Certificaiton,3.8,5,0.5,63,Health & Fitness,Safety & First Aid,Law Enforcement,Troy L Overholt,English,FALSE,0,0,0,0.7,3,No,78.98,78.98
How to Read like a Cambridge Graduate,5,5,0.5,3,Personal Development,Memory & Study Skills,Critical Thinking,Ryan Donaghue,English,FALSE,0,0,0,3,4,No,138.98,138.98
Hands-On Guide to Argo Workflows on Kubernetes,4.6,5,0.5,51,Development,Software Development Tools,Kubernetes,Jan Schwarzlose,English,FALSE,0,0,0,7,56,Yes,118.98,18
The 7-Step Surefire System for Goal Setting and Achievement,4.2,5,0.5,386,Personal Development,Motivation,Goal Setting,Ken Wells,English,FALSE,0,2,0,1,12,No,128.98,18
"Unreal Engine 5- Beginner Lighting, Fog, and Post Processing",4.4,5,0.5,6,Development,Game Development,Environment Lighting,Gavin Eisenbeisz,English,FALSE,0,0,0,2.5,0,Yes,29.98,18
Piano Sight-Reading Development with 25 Exercises,4.6,5,0.5,63,Music,Music Techniques,Reading Music,Samuel S Gingher,English,FALSE,0,0,0,2.5,4,No,118.98,18
A fun lovers Guide to the Major Chess Openings,4.9,5,0.5,51,Lifestyle,Gaming,Chess,Tryfon Gavriel,English,FALSE,0,0,0,31.5,0,No,128.98,18
ISO 9001:2015 From Scratch. Clear and Simple.,4.7,5,0.5,430,Business,Operations,ISO 9001,Danielle Volski,English,FALSE,0,13,0,6,26,No,94.98,20
How to Crush Your Interview and New Job - Ready. Set. Work.,5,5,0.5,4,Personal Development,Career Development,Interviewing Skills,Aleta Maxwell,English,FALSE,0,2,0,2,0,No,104.98,18
"Set Boundaries & Learn to Say ""NO"" (for Helpers / Empaths)",4.4,5,0.5,139,Personal Development,Self Esteem & Confidence,Confidence,Joeel & Natalie Rivera,English,FALSE,0,3,0,2,1,No,104.98,18
Keratin Lash Lifting Course,5,5,0.5,2,Lifestyle,Beauty & Makeup,Beauty,Kristine Lucas,English,FALSE,0,0,0,1,4,No,40.98,18
Body Sculpting Pilates with Props,5,5,0.5,3,Health & Fitness,Sports,Pilates,Orsi Yoga Pilates,English,FALSE,0,0,0,9,0,No,44.98,18
Cluster Analysis,4.5,5,0.5,1,Business,Business Analytics & Intelligence,Cluster Analysis,Institute of Product Leadership,English,FALSE,0,0,0,1,0,No,49.98,18
The Art of Decorating with Intention,2.5,5,0.5,1,Lifestyle,Home Improvement,Interior Design,Jody Pear,English,FALSE,0,0,0,0.55,8,No,34.98,18
The Complete Train the Trainer Bootcamp - Beginners-Advanced,4.5,5,0.5,1513,Teaching & Academics,Teacher Training,Train the Trainer,TJ Walker,English,FALSE,0,2,0,34,8,Yes,158.98,22
Make Music Videos With Your Phone- Part 1,4.4,5,0.5,38,Music,Other Music,Music Video,Dean Davis,English,FALSE,0,0,0,0.6,2,No,108.98,18
3D Modeling Piped Systems in AutoCAD,4.7,5,0.5,857,Design,3D & Animation,3D Modeling,Paul Lynn,English,FALSE,0,15,0,10.5,1,No,29.98,29.98
Learn Chinese like Kids -Pre School Core Reading Course K1T3,5,5,0.5,3,Teaching & Academics,Language Learning,Chinese Language,David Yao,English,FALSE,0,0,0,5,14,No,128.98,18
An Introduction to Self-Healing Through Sound,5,5,0.5,1,Health & Fitness,Other Health & Fitness,Energy Healing,Sally Collins,English,FALSE,0,11,0,1,3,No,29.98,18
What Your Stars Say in 2021 - Numerology & Astrology,4,5,0.5,1,Personal Development,Motivation,Numerology,Gracy Yap,English,FALSE,0,1,0,0.566666667,3,No,128.98,18
The Mystical Teachings of Sufism,5,5,0.5,1,Personal Development,Religion & Spirituality,Teaching Online,Kevser Yeşiltaş,English,FALSE,0,0,0,5,18,No,29.98,18
The Complete WordPress Website & SEO Training Masterclass,4.6,5,0.5,1541,Business,Entrepreneurship,WordPress,Robin & Jesper,English,FALSE,0,24,0,30.5,29,Yes,128.98,18
How to Draw Hair,4.8,5,0.5,24,Design,Other Design,Drawing,Jasmina Susak,English,FALSE,0,3,0,2.5,9,No,44.98,18
Linux for Beginners 2021 : Become Power User,5,5,0.5,3,IT & Software,Operating Systems & Servers,Linux Command Line,Diwakar Parihar,English,FALSE,0,2,0,4.5,0,No,29.98,18
CFA Level 1 (2021) Financial Reporting and Analysis,4.5,5,0.5,75,Finance & Accounting,Finance Cert & Exam Prep,CFA,Analyst Prep,English,FALSE,0,2,0,5.5,16,No,34.98,34.98
What's New In Adobe CC 2015 Graphics & Web,5,5,0.5,2,Design,Design Tools,Photoshop,Stone River eLearning,English,FALSE,0,1,0,2.5,1,No,68.98,18
Microsoft Excel - Learn 10 Top Excel Formulas and Functions!,2.3,5,0.5,4,Finance & Accounting,Accounting & Bookkeeping,Excel,Delcio Tchinanamata,English,FALSE,0,5,0,1.5,3,No,128.98,18
Unity C# Scripting : Complete C# For Unity Game Development,4.5,5,0.5,1487,Development,Game Development,3D Scripting,Raja Biswas,English,FALSE,0,3,0,25.5,2,Yes,128.98,18
Design Thinking | From Zero to HERO,4.1,5,0.5,16,Design,Design Thinking,Unknown,Ivan Pinar Domínguez,English,FALSE,0,2,0,1.5,5,No,78.98,18
Anchor Podcasting Masterclass: Say it with Anchor by Spotify,4.7,5,0.5,25,Marketing,Social Media Marketing,Podcasting,Ed Rubuliak,English,FALSE,0,0,0,4,27,No,44.98,18
Improve your self-esteem,0,0,0,0,Personal Development,Self Esteem & Confidence,Self-Esteem,Iqra Saeed,English,FALSE,0,0,0,3,6,No,29.98,29.98
Chase PAW PATROL. Fursuit head. Foam rubber Cosplay.,5,5,0.5,1,Lifestyle,Arts & Crafts,ArtStudio,Alena Kozlova,English,FALSE,0,0,0,3.5,1,No,108.98,18
Evidence,0,0,0,0,Finance & Accounting,Accounting & Bookkeeping,Internal Auditing,Navkar Digital Institute,English,FALSE,0,0,0,10.5,0,No,29.98,18
5G Optimization And Planning Master Class - Part I,5,5,0.5,2,IT & Software,Network & Security,5G,Ali BENCHEIKH,English,FALSE,0,0,0,1.5,0,No,59.98,59.98
Copywriting - Become a Freelance Copywriter In 7 Days,4.1,5,0.5,870,Business,E-Commerce,Writing,The Startup Central Co.,English,FALSE,0,4,0,1.5,3,No,138.98,20
Blog Tips - 30 Days to Successful WordPress Blogging in 2019,3.5,5,0.5,368,Marketing,Content Marketing,Blogging,Zac Johnson,English,FALSE,0,0,0,5,0,No,128.98,18
